claim,source,published_at,verified_with,confidence
TriTera ternary LMs: 1.5B/2.5B/3.6B params on 1.2T tokens,ACL 2025 (aclanthology.org/2025.acl-long.1294),2025-07,OpenReview + arXiv 2506.23025,high
TriTera TQ1 packs 5 ternary values in 1 byte (1.6 bits/weight),ACL 2025 paper + arXiv,2025-07,ICLR 2025 Workshop paper confirms,high
TriRun GPU kernel achieves 5x speedup over FP baselines,ACL 2025 paper,2025-07,OpenReview peer review,high
TriLMs benefit more from data scaling than param scaling,ACL 2025 paper,2025-07,ICLR workshop paper confirms,high
Inference crossed 55% of AI cloud spend in early 2026,SDxCentral analysis,2026-01,Rack2Cloud GTC 2026 analysis,high
Adaptive routing (AdaMoE/MoE++) enables token-adaptive inference,MDPI Electronics survey,2025-06,SERE paper (arXiv 2602.07616),high
DARPA CLARA deadline extended to April 17 2026,darpa.mil/work-with-us + Amendment 1 PDF,2026-03,Military Aerospace + Intelligence Community News,high
DARPA CLARA awards up to $2M OT Phase 1+2 (24 months),DARPA PA-25-07-02,2026-02,FAQ PDF confirms,high
DARPA MATHBAC Proposers Day April 21 2026 11am-2pm ET,darpa.mil/events/2026/mathbac-proposers-day,2026-03,Defence Science Institute + SweetSpotGov,high
MATHBAC focuses on math of AI agent communication,DARPA event page,2026-03,OrangeSlices AI coverage,high
Custom tokenizer recommended when domain vocab fragments excessively,HuggingFace blog + arXiv 2402.01035,2024-02,Multiple HF docs confirm,high
Pre-training from scratch needs >10B tokens (common guidance),PremAI blog + HF course,2026-01,Multiple sources agree,medium-high
Qwen2.5-0.5B LoRA: r=16 lora_alpha=32 targets all attn+MLP,Databricks docs + Qwen official docs,2025-2026,Unsloth docs confirm for Qwen3.5,high
Liger Kernels reduce VRAM by up to 80%,Unsloth documentation,2026,Qwen fine-tuning guide confirms,medium-high
Optical ternary NN achieves 99%+ inference stability,Nature Communications Physics,2025,Peer-reviewed journal,high
