regime,source,external_store,discard,governing_number_or_relation,failure_mode,notes
"0-20 km dense atmosphere","turbojet / ducted fan / propeller assist","ambient air as reaction mass and oxidizer","heated accelerated air","thrust = mass_flow * delta_v; lift and drag scale with rho * v^2","caps at air-breathing speed and needs atmosphere","Use the local medium while it is abundant; not an orbital solution by itself."
"20-50 km upper atmosphere","ramjet / scramjet / rocket-based combined cycle","ambient air as reaction mass and oxidizer","heated accelerated air","Mach regime; inlet compression; combustion residence time","mode transition, heating, inlet unstart, thinning air","Useful chord while air still exists; hands off before the air becomes too thin."
"30-50 km launch platform","rockoon / balloon-assisted launch","buoyancy from atmosphere","none from balloon; rocket exhaust after ignition","buoyancy buys altitude; rocket still buys velocity","saves drag/max-Q but not orbital velocity","Altitude assist only; useful as setup, not as primary launch physics."
"surface-to-suborbital cargo","railgun / mass driver / spin launch","ground electrical grid or stored energy","projectile heat, ablated material, optional kick-stage exhaust","kinetic energy = 0.5 * m * v^2; ballistic coefficient = m / (Cd * A)","air wall, heating, g-load, required circularization burn","Best for g-tolerant cargo such as water or metal, not people."
"hypersonic ascent","passive spin-stabilized dart / needle","initial launch energy and atmospheric steering","aero heating and shock energy dumped to air","Mach number, ballistic coefficient, center-of-mass ahead of center-of-pressure","tumble, ablation, transonic instability","Fixed shape can use air for limited steering before air thins out."
"upper atmosphere to tether tip","magnetic grappler catch","relative kinetic energy of incoming payload and tether system","heat and structural damping losses","momentum exchange; catch impulse = delta_p / delta_t","alignment error, shock load, spin mismatch","Soft capture widens the window but does not remove precision guidance."
"LEO near magnetized planet","electrodynamic tether","planetary magnetic field plus solar/reactor electricity","no onboard mass discard; orbital energy exchanged with planet","EMF = (v x B) * L; Lorentz force = I * L x B","needs long open conductor, plasma contactors, field geometry","Propellantless orbit raise/deorbit where a planetary field exists."
"LEO / cislunar transfer assist","momentum-exchange tether / bolo / MXER","orbital momentum of tether and counterweights","counterweight loses altitude or tether needs reboost","conservation of momentum and angular momentum","rendezvous precision, tether strength, reboost budget","Fleet-scale momentum bank; not free, but can trade down-mass for up-mass."
"planetary arrival","aerobraking / aerocapture","planet atmosphere as braking medium","heat dumped to atmosphere and heat shield","drag scales with rho * v^2; heat flux scales strongly with velocity","thermal protection, navigation corridor too narrow","Uses atmosphere as external sink instead of spending propellant."
"very low orbit atmosphere","air-breathing electric propulsion / ABEP","thin atmosphere as collected propellant","ionized scooped gas","collection mass flow vs drag; ion exhaust velocity","drag exceeds thrust, intake inefficiency, erosion","Works only in a narrow shell if power and intake close."
"sunlight-rich space","solar electric propulsion","solar photons as energy source","ionized onboard propellant","jet power = 0.5 * mass_flow * exhaust_velocity^2","low thrust, still spends propellant, shadowing","Free energy source but not free momentum; must throw mass."
"sunlight-rich space","solar sail / electric sail","photon or solar-wind momentum","nothing onboard","solar radiation pressure about 9 micro-newtons per square meter at 1 AU","very low thrust, area/mass ratio, poor authority far from Sun","External momentum source; slow but tankless."
"deep space with reactor","nuclear electric plasma thruster","fission energy","ionized propellant plume","specific impulse from exhaust velocity 20-50 km/s; P = 0.5 * mass_flow * u^2","power-limited thrust, radiator mass, propellant still finite","Good mass economy; slow continuous burn."
"deep space high thrust","chemical rocket","chemical bond energy","hot combustion products","Isp roughly 300-450 s; exhaust velocity roughly 3-4.5 km/s","poor mass economy, finite propellant","Use when impulse is needed now."
"fleet operations","depot refuel / shared propellant","pre-positioned propellant and logistics network","propellant from depot through user vehicle","mass delivered to depot dominates economics","depot boiloff/leakage, fill cost, traffic not high enough","Strong if many trips amortize setup."
"fleet operations","ballast drop / expendable counterweight","stored orbital momentum of expendable unit","discarded unit deorbits or changes orbit","delta_v_remaining = (m_discarded / m_remaining) * ejection_speed","mass-expensive, finite inventory","Valid discrete reaction mass; passive release does nothing."
"anywhere with nearby massive body","gravity assist","planet or moon orbital momentum","nothing onboard","patched conics; delta_v from encounter geometry","requires geometry and timing, no arbitrary direction","Borrow momentum from a large external body."
"nothing local but communication line","beamed power / laser sail","remote power station and photon momentum","nothing onboard for sail; waste heat at beam source","beam divergence, sail lightness number, pointing error","requires infrastructure and line of sight","Moves fuel/power burden off vehicle but not out of the ledger."
"microgravity station interface","PFPE / ferrofluid liquid plug","surface tension, magnetic confinement, pressure routing","drag-out film and evaporated trace fluid","capillary number, Weber number, vapor pressure, magnetic pressure","contamination, droplet shedding, confinement at scale","Airlock-like interface minimizing gas loss; not propulsion but part of logistics."
